,title,url
140,Rodrigo Firmino writes on the tyranny of the educated in smart cities for LA+ Journal,https://www.ucl.ac.uk/urban-lab/news/2016/may/rodrigo-firmino-writes-tyranny-educated-smart-cities-la-journal
141,Website for Turning Tables at La Biennale di Venezia launched,https://www.ucl.ac.uk/urban-lab/news/2016/may/website-turning-tables-la-biennale-di-venezia-launched
142,Centre for Critical Heritage Studies to launch at UCL in partnership with University of Gothenburg,https://www.ucl.ac.uk/urban-lab/news/2016/may/centre-critical-heritage-studies-launch-ucl-partnership-university-gothenburg
143,Venturing Beyond exhibition at Somerset House closes this weekend,https://www.ucl.ac.uk/urban-lab/news/2016/apr/venturing-beyond-exhibition-somerset-house-closes-weekend
144,Michael Edwards publishes papers on London's housing crisis,https://www.ucl.ac.uk/urban-lab/news/2016/apr/michael-edwards-publishes-papers-londons-housing-crisis
145,Matthew Beaumont features in BBC Radio 4 programme on the city at night,https://www.ucl.ac.uk/urban-lab/news/2016/apr/matthew-beaumont-features-bbc-radio-4-programme-city-night
146,SPACE magazine publishes Urban Laboratory research in April 2016 issue,https://www.ucl.ac.uk/urban-lab/news/2016/apr/space-magazine-publishes-urban-laboratory-research-april-2016-issue
147,DPU summerLab 2016 applications open and 2015 publication available,https://www.ucl.ac.uk/urban-lab/news/2016/apr/dpu-summerlab-2016-applications-open-and-2015-publication-available
148,Clare Melhuish to present Urban Laboratory university regeneration research at AAG 2016,https://www.ucl.ac.uk/urban-lab/news/2016/mar/clare-melhuish-present-urban-laboratory-university-regeneration-research-aag-2016
149,"Call for Papers and Participants: Global Urbanisms, Regional Specificities",https://www.ucl.ac.uk/urban-lab/news/2016/mar/call-papers-and-participants-global-urbanisms-regional-specificities
150,Call for Papers: Cities After Hours II,https://www.ucl.ac.uk/urban-lab/news/2016/mar/call-papers-cities-after-hours-ii
151,Urban Lab to curate Venturing Beyond cultural programme at Somerset House,https://www.ucl.ac.uk/urban-lab/news/2016/feb/urban-lab-curate-venturing-beyond-cultural-programme-somerset-house
152,UCL Urban Lab publishes limited print edition of 'Case Studies in University-led Urban Regeneration',https://www.ucl.ac.uk/urban-lab/news/2016/jan/ucl-urban-lab-publishes-limited-print-edition-case-studies-university-led-urban
153,Opportunities for PhD funding on the interdisciplinary MSc Urban Studies programme at UCL,https://www.ucl.ac.uk/urban-lab/news/2015/dec/opportunities-phd-funding-interdisciplinary-msc-urban-studies-programme-ucl
154,Call for Papers - Soho Spirit: Our Space or a Space in Our Minds?,https://www.ucl.ac.uk/urban-lab/news/2015/dec/call-papers-soho-spirit-our-space-or-space-our-minds
155,Ben Campkin wins Jane Jacobs Book Award,https://www.ucl.ac.uk/urban-lab/news/2015/nov/ben-campkin-wins-jane-jacobs-book-award
156,"Watching Jeremy, Watching Me, Watching Jeremy",https://www.ucl.ac.uk/urban-lab/news/2015/oct/watching-jeremy-watching-me-watching-jeremy
157,UCL Grand Challenges 2034 Grants,https://www.ucl.ac.uk/urban-lab/news/2015/oct/ucl-grand-challenges-2034-grants
158,UCL East cross-disciplinary student research group: call for participants,https://www.ucl.ac.uk/urban-lab/news/2015/oct/ucl-east-cross-disciplinary-student-research-group-call-participants
159,Call for Papers - The Architecture of Capital: Rethinking the Geographies of Design ...,https://www.ucl.ac.uk/urban-lab/news/2015/oct/call-papers-architecture-capital-rethinking-geographies-design
160,UCL Urban Laboratory launches university-led urban regeneration case studies,https://www.ucl.ac.uk/urban-lab/news/2015/sep/ucl-urban-laboratory-launches-university-led-urban-regeneration-case-studies
161,Dr Rodrigo Firmino to investigate surveillance and security in cities,https://www.ucl.ac.uk/urban-lab/news/2015/sep/dr-rodrigo-firmino-investigate-surveillance-and-security-cities
162,Urban Laboratory launches Urban Pamphleteer #5: Global Education for Urban Futures,https://www.ucl.ac.uk/urban-lab/news/2015/sep/urban-laboratory-launches-urban-pamphleteer-5-global-education-urban-futures
163,Visiting researcher to the Urban Lab to focus on artists exploring the remnants of industrialisation,https://www.ucl.ac.uk/urban-lab/news/2015/sep/visiting-researcher-urban-lab-focus-artists-exploring-remnants-industrialisation
164,Virtual Control exhibition at RIBA extended until Sunday 27 September,https://www.ucl.ac.uk/urban-lab/news/2015/jul/virtual-control-exhibition-riba-extended-until-sunday-27-september
165,UCL Urban Laboratory presents exhibition at RIBA on privatised public space this summer,https://www.ucl.ac.uk/urban-lab/news/2015/jul/ucl-urban-laboratory-presents-exhibition-riba-privatised-public-space-summer
